Dimension,Property,Correlation,P_Value,Abs_Correlation
3887,is_prime,0.037040935982392845,0.24189078721279159,0.037040935982392845
407,is_prime,-0.03699177651777191,0.24251661260256982,0.03699177651777191
2340,is_prime,0.0369641343719261,0.24286901038159023,0.0369641343719261
3795,is_prime,-0.036961321999188966,0.24290488424311804,0.036961321999188966
1260,is_prime,0.03692390574744582,0.24338250972157474,0.03692390574744582
488,is_prime,-0.03690206496684935,0.24366161578478604,0.03690206496684935
584,is_prime,0.03690087193512477,0.24367686815072628,0.03690087193512477
3301,is_prime,0.03688672049805895,0.24385783890152737,0.03688672049805895
3678,is_prime,0.03683116807863098,0.2445691630055287,0.03683116807863098
1359,is_prime,-0.03681951845220692,0.24471851558662053,0.03681951845220692
226,is_prime,0.03678181976956691,0.24520226489140143,0.03678181976956691
1009,is_prime,-0.03675732835178151,0.24551689736588045,0.03675732835178151
785,is_prime,0.0367177907850704,0.24602541874759115,0.0367177907850704
3262,is_prime,-0.036703293710093746,0.24621206076236732,0.036703293710093746
1535,is_prime,0.0366981184154048,0.2462787138840998,0.0366981184154048
1587,is_prime,-0.0366936947906572,0.24633569618469514,0.0366936947906572
573,is_prime,-0.03666527545753677,0.24670199586550795,0.03666527545753677
3707,is_prime,0.0366504690615557,0.24689298791261705,0.0366504690615557
2403,is_prime,0.0366327249559457,0.2471220105429897,0.0366327249559457
1701,is_prime,0.03662069314173849,0.24727738929820617,0.03662069314173849
621,is_prime,0.03656867913627411,0.24794988364485632,0.03656867913627411
2188,is_prime,-0.03656798939141717,0.24795881000354025,0.03656798939141717
1728,is_prime,-0.03655913246731731,0.24807345217051555,0.03655913246731731
1888,is_prime,-0.03655339855836899,0.2481476904300536,0.03655339855836899
3809,is_prime,-0.03654616953576638,0.24824130839353042,0.03654616953576638
1722,is_prime,-0.036538326988039285,0.2483428995874028,0.036538326988039285
2850,is_prime,-0.0364137914076583,0.24996000788653616,0.0364137914076583
1056,is_prime,-0.03641293030722673,0.24997121487927593,0.03641293030722673
4042,is_prime,0.03636667558001406,0.25057372292398516,0.03636667558001406
3861,is_prime,-0.036285547404726115,0.25163293141577747,0.036285547404726115
2179,is_prime,-0.03622381860889296,0.25244094800039774,0.03622381860889296
1041,is_prime,-0.03622034438951978,0.25248647839274974,0.03622034438951978
1321,is_prime,0.036177631101497076,0.2530467122668326,0.036177631101497076
1302,is_prime,-0.036136468110957075,0.2535874297744197,0.036136468110957075
3254,is_prime,-0.03613008873523753,0.2536713011622956,0.03613008873523753
279,is_prime,0.03610393901665023,0.2540153001437233,0.03610393901665023
2364,is_prime,-0.03608929841791484,0.2542080383998612,0.03608929841791484
2808,is_prime,0.036053005042902944,0.2546862658108384,0.036053005042902944
1496,is_prime,0.036047590523336615,0.2547576649112675,0.036047590523336615
2181,is_prime,0.036041051796907156,0.2548439070051089,0.036041051796907156
716,is_prime,0.035988186121784435,0.2555419198692481,0.035988186121784435
2315,is_prime,0.035942321839257434,0.2561485636372922,0.035942321839257434
3078,is_prime,0.03591447842819025,0.2565173334416475,0.03591447842819025
2675,is_prime,0.03591023480841763,0.2565735700310864,0.03591023480841763
1515,is_prime,0.035908918410231264,0.25659101672027335,0.035908918410231264
1384,is_prime,-0.03589931056681392,0.2567183777647628,0.03589931056681392
2413,is_prime,-0.03589086550832693,0.2568303611794803,0.03589086550832693
9,is_prime,0.03588621404267414,0.2568920551408756,0.03588621404267414
359,is_prime,-0.035871996992191374,0.2570806843618223,0.035871996992191374
375,is_prime,0.03586514151512514,0.25717167586804596,0.03586514151512514
3300,is_prime,0.03586497101826781,0.257173939126348,0.03586497101826781
1621,is_prime,0.03582528675712568,0.25770110284124287,0.03582528675712568
2280,is_prime,0.03574708481461174,0.25874212293606863,0.03574708481461174
4076,is_prime,-0.035740949389707836,0.25882392031560064,0.035740949389707836
2616,is_prime,0.035739924530124347,0.25883758546972263,0.035739924530124347
4095,is_prime,0.03572421975635065,0.25904705040031517,0.03572421975635065
332,is_prime,0.03569356780777934,0.25945621336705993,0.03569356780777934
2186,is_prime,-0.035663904946272924,0.25985259861876586,0.035663904946272924
412,is_prime,0.035659185271363414,0.2599157062840227,0.035659185271363414
1826,is_prime,0.035654387909364135,0.2599798635738867,0.035654387909364135
547,is_prime,-0.035631586834724456,0.2602849422839313,0.035631586834724456
3880,is_prime,0.03562914360611644,0.26031764738565244,0.03562914360611644
1996,is_prime,0.0356217732290212,0.26041632458696623,0.0356217732290212
3495,is_prime,-0.035607823074197395,0.2606031649070395,0.035607823074197395
1121,is_prime,-0.03559323210194303,0.2607986870218713,0.03559323210194303
1478,is_prime,-0.03559101743618384,0.2608283728651754,0.03559101743618384
2123,is_prime,-0.03557909760231375,0.2609881888939326,0.03557909760231375
2469,is_prime,0.035516395185121605,0.2618299893823295,0.035516395185121605
919,is_prime,-0.03548587224320332,0.26224044711182776,0.03548587224320332
389,is_prime,0.035461335569534166,0.26257072603336656,0.035461335569534166
1608,is_prime,0.03544156285697957,0.262837087681983,0.03544156285697957
2454,is_prime,-0.035420610903379404,0.2631195382940214,0.035420610903379404
499,is_prime,0.03533876660936665,0.26422487495357533,0.03533876660936665
1103,is_prime,0.035336805140444585,0.264251404465641,0.035336805140444585
2060,is_prime,-0.035308789879969486,0.26463052022964473,0.035308789879969486
540,is_prime,-0.035268839879954585,0.2651717897709462,0.035268839879954585
253,is_prime,-0.035231906074678486,0.2656728709191074,0.035231906074678486
1591,is_prime,-0.035217010914215724,0.26587513775224325,0.035217010914215724
1473,is_prime,-0.03521447448228851,0.2659095914346941,0.03521447448228851
1828,is_prime,0.035203560405797175,0.26605787806319814,0.035203560405797175
2075,is_prime,-0.03519700019008009,0.2661470372979803,0.03519700019008009
2509,is_prime,-0.035103397416588154,0.2674214201376498,0.035103397416588154
1087,is_prime,-0.03509994507923647,0.26746850297489433,0.03509994507923647
701,is_prime,0.03509947623711575,0.26747489746359926,0.03509947623711575
3174,is_prime,0.034997491546559706,0.2688683506229703,0.034997491546559706
1967,is_prime,-0.03498003231819352,0.269107400293722,0.03498003231819352
2772,is_prime,-0.034950153313706184,0.26951683793929976,0.034950153313706184
1870,is_prime,0.03483082391591845,0.27115628600884295,0.03483082391591845
2451,is_prime,0.034818293909086556,0.2713288287760999,0.034818293909086556
2001,is_prime,0.034800283884606625,0.271576964906572,0.034800283884606625
2033,is_prime,-0.03474182018002811,0.272383527652681,0.03474182018002811
109,is_prime,-0.034725087551848687,0.2726146712396374,0.034725087551848687
2406,is_prime,-0.03471497770581156,0.27275439300909626,0.03471497770581156
1484,is_prime,0.03468935831424247,0.273108681383261,0.03468935831424247
82,is_prime,0.034681589036020706,0.2732161841388477,0.034681589036020706
3312,is_prime,-0.03468106344043299,0.2732234577977354,0.03468106344043299
3690,is_prime,-0.03467396129287364,0.2733217565920617,0.03467396129287364
671,is_prime,0.03464520542980128,0.273720005046277,0.03464520542980128
3626,is_prime,0.03464442111020102,0.2737308728656993,0.03464442111020102
1966,is_prime,0.03464291825691737,0.27375169777348746,0.03464291825691737
370,is_prime,-0.034626608208515916,0.27397777424341135,0.034626608208515916
467,is_prime,-0.0345863135533006,0.27453685160858193,0.0345863135533006
263,is_prime,0.034584748335906995,0.27455858425988827,0.034584748335906995
3989,is_prime,0.03457487142995723,0.2746957496835112,0.03457487142995723
3536,is_prime,0.0345575857403792,0.2749359169360111,0.0345575857403792
2119,is_prime,0.034556707676605965,0.27494812056722806,0.034556707676605965
2000,is_prime,-0.03452790104143742,0.2753486898383081,0.03452790104143742
116,is_prime,-0.03451684590554352,0.2755025220372976,0.03451684590554352
3225,is_prime,0.034515012268992895,0.2755280427476754,0.034515012268992895
382,is_prime,-0.03450422117158569,0.27567826679648894,0.03450422117158569
947,is_prime,-0.03446081683464651,0.27628306682522746,0.03446081683464651
2436,is_prime,0.03445911296509094,0.2763068271139259,0.03445911296509094
856,is_prime,0.03439341409056527,0.27722405239050524,0.03439341409056527
3351,is_prime,-0.03437736396721714,0.2774484434148643,0.03437736396721714
376,is_prime,0.03436119994521378,0.2776745516280164,0.03436119994521378
1367,is_prime,-0.03435252377928159,0.27779596865211215,0.03435252377928159
19,is_prime,0.03434862085017966,0.27785059925204064,0.03434862085017966
208,is_prime,0.03432498907518289,0.27818153708305915,0.03432498907518289
1720,is_prime,0.034307205697189085,0.2784307509271829,0.034307205697189085
2861,is_prime,-0.03430254192301997,0.2784961335268455,0.03430254192301997
2056,is_prime,-0.03427461796952094,0.27888782452372896,0.03427461796952094
2518,is_prime,-0.03426589588825166,0.2790102463403961,0.03426589588825166
167,is_prime,-0.03426288850639382,0.27905246595832894,0.03426288850639382
1345,is_prime,-0.03419540258021667,0.2800010191629265,0.03419540258021667
1887,is_prime,0.03413754585941385,0.28081596819096866,0.03413754585941385
3255,is_prime,-0.034136675521230175,0.2808282397274069,0.034136675521230175
1674,is_prime,-0.03413308241692854,0.2808789053891639,0.03413308241692854
2104,is_prime,0.03412323821412071,0.281017748314894,0.03412323821412071
2526,is_prime,0.0340541961068373,0.2819928274695335,0.0340541961068373
3870,is_prime,0.03404925743328883,0.28206266388067314,0.03404925743328883
1891,is_prime,-0.034028886366254646,0.282350849265216,0.034028886366254646
3311,is_prime,0.03392210450573972,0.28386473112678445,0.03392210450573972
2237,is_prime,-0.03389012858518797,0.2843191300361638,0.03389012858518797
3086,is_prime,-0.03388060606487619,0.28445454626070565,0.03388060606487619
2554,is_prime,0.033874351976815105,0.2845435070293527,0.033874351976815105
693,is_prime,-0.033858626591328066,0.284767274543593,0.033858626591328066
2008,is_prime,0.03383986309027022,0.2850344290203683,0.03383986309027022
3851,is_prime,-0.03381570293669549,0.285378670159489,0.03381570293669549
